artista,nombre_cancion,genres
daddy yankee,con calma,"Daddy Yankee, latin, Reggaeton, snow, dancehall"
post malone,wow.,"rap, Hip-Hop, hip hop, trap, 2010s"
niykee heaton,bad guy,Unknown
post malone,sunflower - spider-man: into the spider-verse,"Hip-Hop, pop, MySpotigramBot, rnb, 2010s"
jonas brothers,sucker,"pop, rock, pop rock, 2010s, comeback"
ariana grande,"break up with your girlfriend, i'm bored","pop, trap, rnb, Hip-Hop, rap"
sam smith,dancing with a stranger (with normani),"pop, rnb, normani, 2019, UK"
jimmie allen,shallow,Unknown
our last night,7 rings,"cover, american"
fame on fire,happier,good left undone
rayland baxter,without me,Unknown
ava max,sweet but psycho,"pop, electropop, 2010s, dance-pop, generic"
lil nas x,old town road,"trap, rap, country, country rap, pop rap"
lauv,i'm so tired...,"pop, 2010s, extensive vamping, major key tonality, acoustic rhythm guitars"
mabel,don't call me up,"pop, dance, rnb, tropical house, 2019"
bryant myers,secreto,Unknown
ozuna,baila baila baila,fallon
j. cole,middle child,"hip hop, rap, 2019, MySpotigramBot, trap"
calvin harris,giant (with rag'n'bone man),"dance, electronica, soul, funk, club"
maluma,hp,Unknown
ynw melly,murder on my mind,"MySpotigramBot, trap, Horrorcore, hip hop, rap"
elina,here with me,Unknown
alec benjamin,let me down slowly,"pop, chill, sad, singer-songwriter, Favorite"
hozier,talk,"rock, soul, folk, indie rock, blues"
mike stud,high hopes,Unknown
meek mill,going bad (feat. drake),"meek mill, rap, trap, 2010s, Drake"
dj snake,"taki taki (with selena gomez, ozuna & cardi b)","dance, Selena Gomez, cardi b, ozuna, latin"
billie eilish,bury a friend,"pop, electropop, alternative, 2010s, industrial"
paulo londra,adan y eva,2018 single
travis scott,sicko mode,"MySpotigramBot, trap, rap, Drake, Southern Hip Hop"
lil nas x,old town road - remix,"country, trap, Hip-Hop, rap, country rap"
bad bunny,mia (feat. drake),"Hip-Hop, 2010s, Drake, bad bunny, spanish"
benny blanco,"i can’t get enough (benny blanco, selena gomez, j balvin, tainy)","latin, dance, urban, Reggaeton, Selena Gomez"
mau y ricky,desconocidos,Unknown
piso 21,te vi,Unknown
cardi b,please me,"Hip-Hop, soul, rap, funk, rnb"
lewis capaldi,someone you loved,"2010s, pop, alternative, soft rock, 2018"
billie eilish,lovely (with khalid),"indie, alternative, 2010s, pop, Khalid"
billie eilish,xanny,"Billie Eilish, indie pop, alternative rnb, 2010s, pop soul"
ynw melly,robbery,Unknown
ynw melly,mixed personalities (feat. kanye west),"trap, MySpotigramBot, r&b, Kanye West, pop rap"
the chainsmokers,who do you love (with 5 seconds of summer),Unknown
blueface,thotiana,"Hip-Hop, rap, shit, Trash, garbage"
billie eilish,all the good girls go to hell,"electropop, 2010s, pop, indie pop, 2019"
khalid,my bad,"american, rnb"
anuel aa,amanece,"Latin Trap, MySpotigramBot, -1001819731063"
parmalee,be alright,Unknown
kid travis,lucid dreams,Unknown
lil baby,drip too hard (lil baby & gunna),"MySpotigramBot, trap, rap, Hip-Hop, Love"
kodak black,zeze (feat. travis scott & offset),"MySpotigramBot, travis scott, chill, Love, night"
fame on fire,sad!,"Hip-Hop, hip hop, rock, alternative rock, cover"
ellie goulding,close to me (with diplo) (feat. swae lee),"pop, 2010s, 2018, dance, adult contemporary"
post malone,rockstar (feat. 21 savage),"trap, rap, Hip-Hop, cloud rap, 2017"
21 savage,a lot,"MySpotigramBot, trap, rap, Conscious Hip Hop, Southern Hip Hop"
krewella,bad liar,trap
daddy yankee,adictiva,Unknown
calvin harris,promises (with sam smith),"dance, House, Disco, electronic, pop"
billie eilish,my strange addiction,"electropop, Billie Eilish, 2010s, indie, pop"
manuel turizo,esclavo de tus besos,Unknown
allman brown,moonlight,"indie, folk, hairy chest, hunks"
sheck wes,mo bamba,"MySpotigramBot, trap, Hip-Hop, hiphop, FM4"
ava max,so am i,"pop, electropop, 2019 single, electronic, 2010s"
bebe rexha,last hurrah,"pop, 2010s, 2019, euro, vocal harmonies"
ariana grande,no tears left to cry,"pop, dance, dance-pop, Sweetener, 2018"
tyga,taste (feat. offset),"Hip-Hop, rap, trap, pop rap, ratchet"
ariana grande,monopoly (with victoria monét),"pop, rap, trap, Ariana Grande, Hip-Hop"
post malone,psycho (feat. ty dolla $ign),"Hip-Hop, rap, rnb, trap, 2010s"
cardi b,i like it,"rap, Hip-Hop, trap, hip hop, Latin Rap"
billie eilish,ilomilo,"electropop, alternative, 2010s, Billie Eilish, indie pop"
billie eilish,listen before i go,"pop, ambient pop, Billie Eilish, indie pop, 2010s"
xxxtentacion,arms around you (feat. maluma & swae lee),"Maluma, swae lee, Lil pump, MySpotigramBot, spanish"
"nothing,nowhere.",better,Unknown
drake,nonstop,"MySpotigramBot, rap, trap, Drake, Hip-Hop"
ariana grande,bloodline,"pop, rnb, dance-pop, trap, Hip-Hop"
jaydayoungan,leave me alone,Unknown
drake,in my feelings,"rap, 2018, bounce, 2010s, Hip-Hop"
khalid,outta my head (with john mayer),Unknown
lady gaga,always remember us this way,"Love, best of 2018, Soundtrack, pop, country"
gucci mane,wake up in the sky,"MySpotigramBot, Hip-Hop, rap, 2010s, -1001819731063"
chief keef,fast,Unknown
ariana grande,needy,"pop, rnb, 2019, 2010s, seen live"
kina grannis,when the party's over,Unknown
bad bunny,ni bien ni mal,"Hip-Hop, spanish, rap, latin, Reggaeton"
j balvin,reggaeton,"reggae, Reggaeton, 2018 single"
robin schulz,speechless (feat. erika sirola),"dance, tropical house, linedance 2019"
calvin harris,one kiss (with dua lipa),"House, pop, dance, electronic, MySpotigramBot"
bazzi,beautiful (feat. camila cabello),"pop, rnb, duet, Love, beautiful"
sofia reyes,r.i.p. (feat. rita ora & anitta),"Anitta, pop, rita ora, dance, latin"
trampled by turtles,the middle,Unknown
lunay,soltera,Unknown
metro boomin,space cadet (feat. gunna),"trap, rap, pop rap, gunna, Metro Boomin"
kygo,happy now (feat. sandro cavazza),"tropical house, Kygo, Sandro Cavazza"
mat kearney,changes,Unknown
lil skies,i,"rap, hip hop, Lil Skies, 21st century in music"
ariana grande,nasa,"rnb, pop, female vocalists, trap, Hip-Hop"
ozuna,vaina loca,"latin, Reggaeton, latin pop, ozuna"
kehlani,nights like this (feat. ty dolla $ign),"rnb, Hip-Hop, rap, soul, Neo-Soul"
martin garrix,no sleep (feat. bonn),"Progressive House, House, electro house, EDM, Sabrina Carpenter"
slander,happy now,"electronic, electropop, pop, dance, EDM"
amaranthe,365,"Power metal, metalcore, modern metal, Pop Metal, Female fronted metal"
billie eilish,8,"folk pop, 2010s, pop, indie pop, Billie Eilish"
maroon 5,girls like you (feat. cardi b),"pop, cardi b, 2018, maroon 5, 2010s"
pnl,au dd,"MySpotigramBot, -1001819731063, hip hop, rap, rap francais"
shawn mendes,in my blood,"pop, 2018, rock, Canadian, 2010s"
juice wrld,hear me calling,"dancehall, Hear Me Calling, Juice WRLD, MySpotigramBot, pop"
ariana grande,fake smile,"rnb, trap, Hip-Hop, pop, love at first listen"
fletcher,undrunk,"2019, pop, 2010s, indie pop, female vocalists"
6ix9ine,kika (feat. tory lanez),"Hip-Hop, rap, tory lanez, hip hop, trap"
french montana,no stylist,"Hip-Hop, hip hop, rap, trap, Drake"
lil mosey,noticed,"trap, Hip-Hop, rap, pop rap, cloud rap"
blocboy jb,look alive (feat. drake),"trap, Hip-Hop, rap, Gangsta Rap, pop rap"
zara larsson,ruin my life,"swedish, pop, electropop, synthpop, chill"
bebe rexha,mine,"pop, heartbreak, my top songs"
cauty,ta to gucci (remix),Unknown
6ix9ine,bebe (feat. anuel aa),"Hip-Hop, rap, anuel aa, spanish, trap"
yungblud,11 minutes (with halsey feat. travis barker),"rock, pop, alternative, emo, pop rock"
nipsey hussle,racks in the middle (feat. roddy ricch and hit-boy),"hip hop, rap, pop rap, trap music, Southern Hip Hop"
bebe rexha,i'm a mess,"2010s, 2018, mental illness, best of 2018, pop"
luis fonsi,imposible,"fallon, puerto rico, summer 22, vives en mi corazon bebe"
why don't we,big plans,Unknown
don patricio,contando lunares (feat. cruz cafuné),Unknown
clean bandit,solo (feat. demi lovato),"dance, EDM, Demi Lovato, Clean bandit, pop"
sebastian yatra,ya no tiene novio,Unknown
piso 21,puntos suspensivos,Unknown
drake,nice for what,"rap, Hip-Hop, 2018, bounce, Drake"
rudimental,"these days (feat. jess glynne, macklemore & dan caplen)","pop, dance, House, 2010s, Macklemore"
lil baby,yes indeed,"trap, MySpotigramBot, Hip-Hop, rap, Drake"
lovelytheband,make believe,Unknown
reik,amigos con derechos,Unknown
eminem,lucky you (feat. joyner lucas),"Hip-Hop, rap, joyner lucas, hip hop, 2018"
juice wrld,all girls are the same,"MySpotigramBot, cloud rap, emo rap, Juice WRLD, Hip-Hop"
logic,keanu reeves,"fortnite, Hip-Hop, rap, logic, 2019"
xuitcasecity,goodbye,Unknown
offset,red room,offset
rita ora,let you love me,"pop, electropop, british, 2010s, dance"
offset,legacy (feat. travis scott & 21 savage),"Hip-Hop, hip hop, rap, trap, atlanta"
kanye west,i love it (& lil pump),"Hip-Hop, rap, Kanye West, pop rap, hyphy"
travis scott,yosemite,"trap, cloud rap, 2018, gunna, pop rap"
6ix9ine,mala (feat. anuel aa),"anuel aa, Hip-Hop, spanish, rap, latin"
lauv,there's no way (feat. julia michaels),"2010s, extensive vamping, major key tonality, electronica influences, electric pianos"
john mayer,new light,"indie, pop, pop rock, 2018, chill"
bad bunny,caro,"Hip-Hop, rap, latin, trap, 2010s"
tory lanez,freaky,"Hip-Hop, rap, trap, tory lanez, MySpotigramBot"
becky g,cuando te besé,"pop, latin, latin pop, spanish, Reggaeton"
dominic fike,3 nights,"pop, indie pop, alternative pop, indie, alternative"
brytiago,asesina - remix,"Daddy Yankee, darell, anuel aa, ozuna"
joji,slow dancing in the dark,"alternative rnb, MySpotigramBot, joji, indie, soul"
sam smith,fire on fire,"pop, 2018, Love, queer, 2010s"
paulo londra,forever alone,Unknown
khalid,love lies (with normani),"rnb, soul, normani, Soundtrack, urban"
6ix9ine,"fefe (feat. nicki minaj, murda beatz)","Hip-Hop, rap, nicki minaj, post-nerdcore, Murdabeatz"
david guetta,better when you're gone,Unknown
post malone,wow. - remix,"Hip-Hop, hip hop, rap, tyga, post malone"
becky g,sin pijama,"Reggaeton, latin, latin pop, pop, sexy"
shawn mendes,lost in japan,"pop, Canadian, rnb, 2018, electropop"
manuel turizo,culpables,Unknown
tenacious d,hope,21st century in music
sebastian yatra,cristina,"pop, acoustic, Reggaeton, Colombia, latin pop"
