artista,nombre_cancion,genres
ariana grande,"thank u, next","pop, rnb, 2010s, 2018, pete fracassado"
dj snake,"taki taki (with selena gomez, ozuna & cardi b)","dance, Selena Gomez, cardi b, ozuna, latin"
bad bunny,mia (feat. drake),"Hip-Hop, 2010s, Drake, bad bunny, spanish"
marshmello,happier,"bastille, electronic, love this, 2010s, eletronic"
halsey,without me,"rnb, pop, halsey, alternative, synthpop"
kodak black,zeze (feat. travis scott & offset),"MySpotigramBot, travis scott, chill, Love, night"
travis scott,sicko mode,"MySpotigramBot, trap, rap, Drake, Southern Hip Hop"
post malone,sunflower - spider-man: into the spider-verse,"Hip-Hop, pop, MySpotigramBot, rnb, 2010s"
xxxtentacion,arms around you (feat. maluma & swae lee),"Maluma, swae lee, Lil pump, MySpotigramBot, spanish"
fame on fire,lucid dreams,"im not angry, 21st century in music"
ava max,sweet but psycho,"pop, electropop, 2010s, dance-pop, generic"
billie eilish,when the party's over,"pop, Ballad, 2010s, alternative, indie pop"
sheck wes,mo bamba,"MySpotigramBot, trap, Hip-Hop, hiphop, FM4"
calvin harris,promises (with sam smith),"dance, House, Disco, electronic, pop"
fame on fire,sad!,"Hip-Hop, hip hop, rock, alternative rock, cover"
kanye west,i love it (& lil pump),"Hip-Hop, rap, Kanye West, pop rap, hyphy"
blanks,better now,"pop, 80s, new wave, cover"
allman brown,moonlight,"indie, folk, hairy chest, hunks"
tyga,taste (feat. offset),"Hip-Hop, rap, trap, pop rap, ratchet"
xxxtentacion,bad!,"Hip-Hop, soul, emo, rap, pop"
6ix9ine,bebe,"Reggaeton, Hip-Hop, rap, dancehall, latino"
lady gaga,shallow,"Soundtrack, pop, country, Ballad, rock"
cardi b,i like it,"rap, Hip-Hop, trap, hip hop, Latin Rap"
billie eilish,lovely (with khalid),"indie, alternative, 2010s, pop, Khalid"
becky g,cuando te besé,"pop, latin, latin pop, spanish, Reggaeton"
paulo londra,adan y eva,2018 single
yours truly,high hopes,"pop punk, punk, rock n roll"
ariana grande,breathin,"pop, bop, rnb, love at first listen, female vocalists"
rita ora,let you love me,"pop, electropop, british, 2010s, dance"
zara larsson,ruin my life,"swedish, pop, electropop, synthpop, chill"
6ix9ine,fefe (feat. nicki minaj & murda beatz),"Hip-Hop, rap, nicki minaj, 6ix9ine, trap"
little mix,woman like me (feat. nicki minaj),"pop, reggae, 2018, female vocalists, 2010s"
gucci mane,wake up in the sky,"MySpotigramBot, Hip-Hop, rap, 2010s, -1001819731063"
lil baby,drip too hard,gunna
maroon 5,girls like you (feat. cardi b),"pop, cardi b, 2018, maroon 5, 2010s"
french montana,no stylist,"Hip-Hop, hip hop, rap, trap, Drake"
drake,nonstop,"MySpotigramBot, rap, trap, Drake, Hip-Hop"
kygo,happy now (feat. sandro cavazza),"tropical house, Kygo, Sandro Cavazza"
bazzi,beautiful (feat. camila cabello),"pop, rnb, duet, Love, beautiful"
krewella,bad liar,trap
post malone,rockstar (feat. 21 savage),"trap, rap, Hip-Hop, cloud rap, 2017"
ariana grande,god is a woman,"pop, trap, rnb, 2018, Sweetener"
eminem,lucky you (feat. joyner lucas),"Hip-Hop, rap, joyner lucas, hip hop, 2018"
clean bandit,solo (feat. demi lovato),"dance, EDM, Demi Lovato, Clean bandit, pop"
