artista,nombre_cancion,genres
kovic,nobody like you,Unknown
kaydy cain,mas que tu,Unknown
glokknine,freelilroy,Unknown
liz phair,bomb (girly-sound version),Unknown
espinoza paz,quien es,Unknown
fredo,keep it real,Unknown
black milk,could it be,Unknown
black milk,laugh now cry later,fip
waka flocka flame,no hands (feat. gucci mane & lil boosie),Unknown
jpegmafia,dj snitch bitch interlude,"MySpotigramBot, -1001819731063"
misery index,i disavow,"male vocalist, 2010s, english lyrics, misery index, 2019"
syleena johnson,so confused (remix),Unknown
red sun rising,fascination,Unknown
jpegmafia,1488,"hardcore hip hop, Political Hip Hop, industrial hip hop, glitch hop, Trap Metal"
edwin raphael,thrills sought after,Unknown
angela aguilar,corazoncito tirano,Unknown
red sun rising,left for dead,Unknown
elvis presley,it's easy for you,"oldies, Elvis Presley, Disco, classic rock, rock"
waka flocka flame,throwin fingers (feat. rich kid shawty & papoose),Unknown
scridge,samira 2,Unknown
anders,press it up,Unknown
boyce avenue,stitches (feat. jacob whitesides),Unknown
mankirt aulakh,khayal,Unknown
elvis presley,like a baby,"60s, oldies, rock, rock n roll, 60's"
4keus,je pense,Unknown
vegedream,la rue - radio edit,Unknown
jpegmafia,williamsburg,"experimental hip hop, depression, glitch hop, abstract rap, experimental hip-hop"
ghost town,modern tragedy,Unknown
crazy ex-girlfriend cast,horny angry tango,"pop, adult contemporary, Soundtracks, comedy, jazz pop"
jeremy loops,vultures,Unknown
noah carter,be easy,Unknown
noah carter,00.43,Unknown
biig piig,flirt,Unknown
josh ward,all about lovin',Unknown
stupid young,on me (feat. mbnel),Unknown
legado 7,los dos generales (en vivo),Unknown
alfie templeman,yellow flowers,"indie, alternative, alternative rock, indie pop, indie rock"
elvis presley,tomorrow is a long time,"60s, Bob Dylan, cover, Bob Dylan cover, rock"
liza anne,closest to me,"fav, 2017"
prep,don't bring me down,Unknown
towkio,loose,"dance, chicago, indie hip-hop, drop"
katelyn tarver,never fade,Unknown
legado 7,la perra de mazatlan (en vivo),Unknown
yung hurn,hellwach,Unknown
kim wilde,kandy krush,"british, pop rock, 2010s, 2018, 2018 single"
pleasure p,you changed,Unknown
thompson square,let's do something stupid,Unknown
cautious clay,call me,Unknown
jeremy loops,thieves,Unknown
