artista,nombre_cancion,genres
sam smith,unholy (feat. kim petras),"pop, electropop, hyperpop, electronic, queer"
bizarrap,"quevedo: bzrp music sessions, vol. 52","MySpotigramBot, Quevedo, argentina, summer, Reggaeton"
david guetta,i'm good (blue),"House, dance, electro house, electronic, pop"
manuel turizo,la bachata,"spanish, latin, summer, latin pop, bachata"
bad bunny,me porto bonito,"Reggaeton, MySpotigramBot, latin, fire, king of pop"
bad bunny,tití me preguntó,"Reggaeton, MySpotigramBot, latin, fire, king of pop"
bad bunny,efecto,"Reggaeton, latin, king of pop, rey del pop"
onerepublic,i ain't worried,"pop, pop rock, 2020s, 2022, electronic"
chris brown,under the influence,"Chris Brown, rnb, shit, a subtle use of vocal harmony, extensive vamping"
bad bunny,ojitos lindos,"Reggaeton, spanish, latin, summer, dancehall"
harry styles,as it was,"pop, synthpop, rock, indie pop, british"
bad bunny,moscow mule,"Reggaeton, latin, urban, alternative rnb, chillwave"
joji,glimpse of us,"Ballad, piano, pop, adult contemporary, Masterpiece"
the neighbourhood,sweater weather,"indie, alternative, chill, can't stop listening, summer"
bad bunny,neverita,"trap, latin, Reggaeton, Hip-Hop, dance-pop"
tom odell,another love,"indie, singer-songwriter, british, pop, Another Love"
beyoncé,cuff it,"Disco, pop, funk, nu-disco, 2022"
karol g,provenza,"Reggaeton, latin, latin pop, afrobeats, dance"
arctic monkeys,i wanna be yours,"indie rock, alternative, indie, british, sexy"
charlie puth,left and right (feat. jung kook of bts),"pop, 2022, catchy, duet, shit"
rema,calm down (with selena gomez),"afrobeats, remix, contemporary rnb, Selena Gomez, 2022"
nicki minaj,super freaky girl,"rap, Hip-Hop, 2022, party, mother"
rauw alejandro,lokera,Reggaeton
bad bunny,tarot,"Reggaeton, latin, furry, king of pop, rey del pop"
luar la l,caile,Unknown
drake,jimmy cooks (feat. 21 savage),"MySpotigramBot, -1001747063611, trap, pop rap, Drake"
the weeknd,blinding lights,"synthpop, synthwave, pop, 2019, 2010s"
bad bunny,la corriente,"Reggaeton, latin"
kate bush,running up that hill (a deal with god),"80s, female vocalists, pop, alternative, Kate Bush"
james hype,ferrari,"House, dance, ferrari, future house"
karol g,gatúbela,"Reggaeton, urban, Perreo, spanish, dance"
beach weather,"sex, drugs, etc.","indie, cool, vocal harmonies, extensive vamping, a distinctive male lead vocal"
doja cat,vegas (from the original motion picture soundtrack elvis),"2022, Soundtrack, Hip-Hop, rap, vocal samples"
bad bunny,party,"Reggaeton, king of pop, 11, rey del pop, neoperreo"
shakira,te felicito,"latin, Colombia, latin pop, Shakira, funktronica"
lil nas x,star walkin' (league of legends worlds anthem),"Soundtrack, hip hop, pop, rap, synthpop"
seafret,atlantis,"british, duo, numetal, d, 2015 single"
elley duhé,middle of the night,"pop, sexy, electronic, female vocalist, sapphic"
ruth b.,dandelions,"pop, chill, piano, rnb, vocal harmonies"
the weeknd,i was never there,"rnb, The Weeknd, MySpotigramBot, soul, sexy"
the weeknd,starboy,"rnb, pop, MySpotigramBot, electronic, Daft Punk"
stephen sanchez,until i found you,"Love, Traditional Pop, adult contemporary, american, vocal harmonies"
calvin harris,one kiss (with dua lipa),"House, pop, dance, electronic, MySpotigramBot"
elton john,hold me closer,"Britney Spears, Disco, pop, House, electronic"
the weeknd,save your tears,"synthpop, pop, rnb, synthwave, MySpotigramBot"
rels b,cómo dormiste?,Unknown
mora,la inocente,Unknown
imagine dragons,bones,"rock, alternative, energy, Pop-Rock, a subtle use of vocal harmony"
zach bryan,something in the orange,"country, colors, orange, singer-songwriter, acoustic"
lizzo,about damn time,"Disco, pop, funk, dance-pop, 2020s"
armani white,billie eilish.,"rap, shit, garbage, badass, explicit lyrics"
the walters,i love you so,"MySpotigramBot, indie pop, indie rock, sad, jangle pop"
billie eilish,lovely (with khalid),"indie, alternative, 2010s, pop, Khalid"
the kid laroi,stay (with justin bieber),"pop rap, pop rock, pop, synthpop, 2021"
coolio,gangsta's paradise,"rap, 90s, Hip-Hop, Gangsta Rap, hip hop"
harry styles,watermelon sugar,"pop, rock, 2019, 2010s, indie pop"
future,wait for u (feat. drake & tems),"MySpotigramBot, Hip-Hop, rnb, trap, pop rap"
the weeknd,call out my name,"rnb, soul, MySpotigramBot, Canadian, 2018"
arctic monkeys,505,"indie rock, indie, british, rock, alternative"
glass animals,heat waves,"indie, pop, psychedelic pop, rnb, electronic"
ghost,mary on a cross,"Psychedelic Rock, occult rock, pop rock, classic rock, metal"
arctic monkeys,do i wanna know?,"indie rock, indie, alternative, arctic monkeys, rock"
the weeknd,the hills,"rnb, electronic, dark, r&b, trap"
billie eilish,happier than ever,"noise pop, rock, electropop, pop, Grunge"
lost frequencies,where are you now,"House, tropical house, dance, deep house, EDM"
olivia rodrigo,drivers license,"pop, bedroom pop, sad, 2021, Ballad"
imagine dragons,believer,"rock, pop rock, 2017, pop, alternative"
ed sheeran,bad habits,"pop, 2021, dance, dance-pop, Ed Sheeran"
anuel aa,la llevo al cielo (ft. ñengo flow),Unknown
omar apollo,evergreen (you didn’t deserve me at all),Unknown
j. cole,no role modelz,"MySpotigramBot, Hip-Hop, rap, j cole, hip hop"
sam smith,i'm not the only one,"soul, pop, melancholy, 2014, songs to kill yourself to"
j balvin,la canción,"pop, latin, Reggaeton, rnb, pop rap"
polimá westcoast,baby otaku,Unknown
eminem,without me,"rap, Hip-Hop, Eminem, hip hop, 00s"
the weeknd,die for you,"rnb, MySpotigramBot, synthpop, electropop, pop"
justin bieber,ghost,"pop, dance, synth-pop, 2020s, 2021"
doja cat,woman,"afrobeat, rap, rnb, pop, love at first listen"
olivia rodrigo,traitor,"pop, Ballad, indie pop, folk pop, indie"
taylor swift,don’t blame me,"pop, electropop, gospel, overrated, EDM"
arctic monkeys,why'd you only call me when you're high?,"indie rock, indie, love at first listen, british, sexy"
one direction,night changes,"pop, love at first listen, british, Love, one direction"
olivia rodrigo,good 4 u,"pop rock, rock, pop punk, pop, punk"
lil nas x,thats what i want,"pop, Hip-Hop, rap, pop rock, 2021"
bad bunny,un coco,"latin, Masterpiece, banger, alternative reggaeton, goofy ahh song 💀"
paloma faith,only love can hurt like this,"british, Love, soul, best of 2014, diane warren"
linkin park,numb,"rock, Nu Metal, Linkin Park, alternative rock, alternative"
oliver tree,miss you,"electronic, electropop, pop, indie pop, dance"
benny blanco,bad decisions (with bts & snoop dogg),"bts, shit, Trash, Snoop Dogg, 2022"
camila cabello,bam bam (feat. ed sheeran),"latin pop, 2022, pop, Ed Sheeran, 2020s"
lewis capaldi,someone you loved,"2010s, pop, alternative, soft rock, 2018"
bad bunny,dos mil 16,"trap, cloud rap, trap latino"
yung gravy,betty (get money),"never gonna give you up, pop, rap, pop rap, rickroll"
eminem,the real slim shady,"rap, Hip-Hop, Eminem, hip hop, 00s"
the neighbourhood,daddy issues,"MySpotigramBot, indie, Hip-Hop, alternative, pop"
bad bunny,lo siento bb:/ (with bad bunny & julieta venegas),Unknown
ed sheeran,perfect,"Ballad, pop, Love, soul, british"
bad bunny,un ratito,"latin, Reggaeton"
feid,feliz cumpleaños ferxxo,Reggaeton
bruno mars,locked out of heaven,"pop, Bruno Mars, rnb, 2012, 10s"
tears for fears,everybody wants to rule the world,"80s, pop, new wave, Tears for Fears, rock"
olivia rodrigo,deja vu,"pop, indie pop, pop rock, 2021, psychedelic pop"
xxxtentacion,revenge,"alternative rock, acoustic, folk pop, emo rap, post-nerdcore"
conan gray,heather,"pop, sad, indie, folk, 2020"
the neighbourhood,softcore,"alternative, indie, indie pop, shoegaze, synthpop"
ed sheeran,shape of you,"pop, 2017, dancehall, dance, 2010s"
feid,prohibidox,Reggaeton
imagine dragons,enemy (with jid) - from the series arcane league of legends,"indie, rap, arcane, MySpotigramBot, Hip-Hop"
måneskin,beggin',"rock, cover, pop, alternative, alternative rock"
farruko,pepas,"party, latin, dance, spanish, latino"
xxxtentacion,hope,"MySpotigramBot, XXXTENTACION, Hip-Hop, emo, rap"
the police,every breath you take,"80s, rock, classic rock, The Police, pop"
taylor swift,august,"dream pop, folk, overrated, folk pop, indie"
tiësto,the motto,"dance-pop, House, EDM, pop, dance"
