artista,nombre_cancion,genres
brray,bichotes con clase,Unknown
don omar,no sigue modas aka ella no sigue modas,"electronic, latin"
tracy lawrence,just you and me,"modern country, 2000, contemporary country, early 2000s country"
ozuna,bipolar,Unknown
big & rich,born again,Unknown
steve earle,go amanda,"country, singer-songwriter, americana, Alt-country, Steve Earle"
tracy lawrence,excitable boy,Unknown
steve earle,jerusalem,"Alt-country, country, Southern Rock, rock, singer-songwriter"
sugarland,winter wonderland,"christmas, country christmas, country, xmas, holiday"
glen campbell,gentle on my mind - remastered 2001,"bluegrass, mistagged, nashville sound"
big & rich,blue christmas,"country, christmas, cover, Rock and Roll, country rock"
easton corbin,a girl like you,"country, 2010s, 2017, linedance 2017, linedance 2018"
cali y el dandee,locura,"rap, latino"
devin dawson,all on me,"country, american, fallon, Meyers, 2017 single"
don henley,the boys of summer,"80s, classic rock, rock, Don Henley, pop"
don omar,salió el sol,"Reggaeton, GTA IV, San Juan Sounds"
devin dawson,i don't care who sees,Unknown
don omar,te quiero pa´mi,Unknown
don omar,dale don dale,"Reggaeton, latin, don omar, hip hop, dance"
michael ray,one that got away,Unknown
travis denning,"red, white and blue",Unknown
michael ray,her world or mine,Unknown
travis denning,after a few,linedance 2019
don omar,no te vayas,Unknown
don omar,guaya guaya,"Reggaeton, pop, dance, summer, male vocalists"
michael ray,get to you,"country, linedance 2017"
michael ray,whiskey and rain,"linedance catalan, linedance 2021"
don omar,bomba,"Reggaeton, s, party, eddie, songs with foreign language: spanish"
don omar,pobre diabla,"Reggaeton, latin, spanish, don omar, dance"
danny ocean,me rehúso,"pop, latin, summer, party, latin pop"
don omar,tu cuerpo me arrebata,"Reggaeton, puerto rico"
michael ray,time marches on (the bootlegger sessions),Unknown
j.j. cale,cocaine,"blues rock, blues, classic rock, rock, guitar"
jon langston,beers got drank,Unknown
sturgill simpson,in bloom,"cover, nirvana cover, country, Alt-country, 2016"
chris janson,who's your farmer,linedance 2018
chris janson,buy me a boat,"country, 2015, happy, american, summer"
chris janson,holdin' her,"country, Ballad, 2010s, 2016"
chris janson,it is christmas,Unknown
john michael montgomery,the christmas song (chestnuts roasting on an open fire),Unknown
