track_id,track_name,artist_name,new_popularity_2025,album,popularity_2024,duration_ms,explicit,release_date,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,genres
4VohsQwrtb7lj1yO0dFKJa,Hookah & Sheridan s,Tommy Boysen,0,Gracias X,0,195284,False,2020-05-29,0.809,0.528,8,-6.886,0,0.12,0.353,5.86e-06,0.0897,0.491,103.922,Unknown
63tc67n05008BFsuVhGgNb,Qué Rico Repetirlo,Andy Rivera,21,Qué Rico Repetirlo,42,186840,False,2020-05-29,0.808,0.798,9,-3.998,1,0.126,0.0352,0.0,0.0652,0.605,75.982,Unknown
6yCrxyjQxkdYpNexoNixK2,El Equivocado,Andrés Cepeda,50,Trece,53,219040,False,2020-05-13,0.549,0.64,8,-7.531,1,0.0337,0.27,0.0,0.0998,0.571,162.002,Unknown
407dcWZUHSyQihZYkSF6LZ,Préstamela a Mí,Andy Rivera,24,Préstamela a Mí,45,169925,False,2020-01-31,0.818,0.631,7,-6.004,1,0.222,0.0505,0.0,0.12,0.436,92.984,Unknown
19EmSSV5hAiMD6kSZXcoJC,Magia (feat. Sebastián Yatra),Andrés Cepeda,58,Trece,62,193853,False,2020-05-13,0.518,0.659,0,-6.724,1,0.0618,0.296,0.0,0.0817,0.71,92.152,Unknown
31VOknKjFrEX47bZXzqcoF,Next To Me,Imagine Dragons,69,Evolve,71,230288,False,2017-06-23,0.301,0.672,2,-4.497,1,0.0623,0.28,3.1e-05,0.0609,0.384,169.497,"pop rock, indie, rock, alternative, alternative rock"
0Oc7jO4uOtUbvhCo4wV86k,Descent,STEIN27,20,Descent,24,212800,True,2020-05-26,0.68,0.561,10,-8.093,0,0.185,0.428,0.0,0.161,0.531,149.979,Unknown
3Os0NFzflZ5yaNN2Cld6aR,Lízátko,KOJO,34,Lízátko,40,156144,True,2020-05-20,0.598,0.635,2,-7.353,1,0.0377,0.665,0.0,0.0656,0.313,83.046,Unknown
13yD6YGhloxy7vmAsJpRUW,Hadi,CA$HANOVA BULHAR,36,rap disco revoluce,34,233142,True,2020-05-19,0.758,0.655,4,-7.481,0,0.0945,0.322,0.0,0.113,0.511,140.079,Unknown
2TDoneAkT9o288m0Z96fRQ,Easy Easy,Reginald,0,Easy Easy,0,175776,False,2020-04-17,0.663,0.701,11,-6.719,0,0.163,0.507,4.8e-06,0.113,0.444,199.919,Unknown
13T1GbptLNeMV9hD0qy4GR,Jsme jenom fakani,CA$HANOVA BULHAR,41,rap disco revoluce,39,268965,True,2020-05-19,0.715,0.561,0,-7.841,1,0.134,0.576,0.0,0.106,0.204,72.526,Unknown
75eHVNWvQb6wTE1mEZY48z,Vzlítnout,Neno,33,Vzlítnout,36,145390,True,2020-02-19,0.781,0.765,5,-6.543,0,0.115,0.432,0.0,0.0948,0.671,96.015,Unknown
