artists,name,genres
Orchestra Studio 7,Uocchie c'arraggiunate - Musical base Version,Unknown
Tadeusz Dolega Mostowicz,Chapter 4.14 - Drugie życie doktora Murka,Unknown
Carlo Buti,Ho sognato Firenze,world
S. K. Pal,Bhool Aai Bhool Aai Ri,Unknown
Mina,Non piangerò,Unknown
"Claude Debussy,  Oscar Levant","Préludes, Livre 2, L. 123: 6. Général Lavine - eccentric",Unknown
Claudio Villa,Roma sei sempre tu,Unknown
Orchestra Studio 7,Pasqualino 'O Maraggià - Instrument and base Version,Unknown
Tadeusz Dolega Mostowicz,Chapter 326.2 & Chapter 327.1 - Doktor Murek zredukowany,Unknown
Orquesta Gran Casino,Brindis - Remastered,Unknown
Giorgio Consolini,Cuore Tzigano,Unknown
Orchestra Studio 7,Pigliate 'na pastiglia - Musical base Version,Unknown
Carlo Buti,La porti un bacione a Firenze,Unknown
Shanta Apte,Bujh Sako To Bujho,Unknown
H.P. Lovecraft,Capítulo 10.5 & Capítulo 11.1 - la Sombra Fuera del Tiempo,Unknown
Natalino Otto,Perdoni Signor Back,Unknown
Tadeusz Dolega Mostowicz,Chapter 9.10 - Drugie życie doktora Murka,Unknown
Orchestra Studio 7,Caravan petrol - Instrument and base Version,Unknown
"Wolfgang Amadeus Mozart,  Sir John Barbirolli,  New York Philharmonic","Symphony No. 25 in G Minor, K. 183: II. Andante",Unknown
"Wolfgang Amadeus Mozart,  Ezio Pinza,  Wiener Philharmoniker,  Bruno Walter","Don Giovanni, K. 527 (Excerpts): Fin ch'han dal vino",Unknown
Orchestra Studio 7,Reginella - Musical base Version,Unknown
"Francisco Canaro,  Ernesto Fama",El Llorón - Remasterizado,Unknown
"Jules Massenet,  Bidu Sayão,  Fausto Cleva,  Metropolitan Opera Orchestra",Je suis encore from Manon (Act I),Unknown
"Giuseppe Verdi,  Gino Marinuzzi,  Bruno Erminero,  ""Coro dellEIAR di Torino"",  ""Orchestra Sinfonica dellEIAR di Torino""","Verdi : La forza del destino : Act 2 ""Holà, holà, holà! Ben giungi, o mulattier"" [Chorus]",Unknown
Carlo Buti,Stornellata a dispetto,Unknown
Khursheed Bano,Main Chand Hoon Ya Chandni,Unknown
"Richard Strauss,  Arturo Toscanini","Tod und Verklärung, Op. 24: Largo",Unknown
Orchestra Studio 7,Chitarra rossa - Instrument and base Version,Unknown
Francisco Canaro,Infamia - Remasterizado,Unknown
Alvarenga E Ranchinho,A Moda dos Meses,Unknown
Thouraya Helmy,Hata Anta Ya Brutus,Unknown
"Γιάννης Ιωαννίδης,  Λίζα Κουρούκλη,  Μάκης Καρνέρης",Παλιά στρατώνα,Unknown
"Claude Debussy,  Oscar Levant","Préludes, Livre 1, L. 117: XII. Minstrels. Modéré",Unknown
Coro Infantil Sinfonico,Olim Lacus,Unknown
"Giuseppe Verdi,  Gino Marinuzzi,  Galliano Masini,  ""Orchestra Sinfonica dellEIAR di Torino""","Verdi : La forza del destino : Act 3 ""Oh, tu che in seno agli Angeli"" [Alvaro]",Unknown
Orchestra Studio 7,Carmela - Musical base Version,Unknown
"Θίασος Βρυσηίδας Παντοπούλου,  Πέτρος Κυριακός",Η καρδιά του μάγκα,Unknown
"Ludwig van Beethoven,  Berliner Philharmoniker,  Carl Schuricht","Symphony No. 6 in F Major, Op. 68 ""Pastoral"": 2. Szene am Bach - Andante molto mosso",Unknown
Carlo Buti,Banane gialle,Unknown
"Francisco Ernani Braga,  Bidu Sayão",Folk Songs of Brazil: Ó kinimbá,Unknown
Naseem Akhtar,Woh Hamen Tadpa Rahe Hain,Unknown
"Giuseppe Verdi,  Gino Marinuzzi,  Maria Caniglia,  ""Orchestra Sinfonica dellEIAR di Torino"",  Tancredi Pasero","Verdi : La forza del destino : Act 2 ""Infelice, delusa, reietta"" [Leonora, Padre Guardiano]",Unknown
"Johann Sebastian Bach,  Claudio Arrau","Goldberg Variations, BWV 988: Variation XXVI",Unknown
Carlo Buti,Porta un bacione a Firenze,world
H.P. Lovecraft,Capítulo 23.4 - la Sombra Fuera del Tiempo,Unknown
Shanta Apte,Tu So Ja Lal Hamare,Unknown
Tadeusz Dolega Mostowicz,Chapter 3.16 - Drugie życie doktora Murka,Unknown
"Parul Ghosh,  Arun Kumar",Balam Dheere Bol,Unknown
Himangshu Dutta,Mere Man Kab Bhajiyo Satnaam,Unknown
Orchestra Studio 7,Tutte 'e ssere - Musical base Version,Unknown
Orchestra Studio 7,Suonno 'e fantasia - Musical base Version,Unknown
"Johannes Brahms,  Arturo Toscanini","Symphony No. 1 in C Minor, Op. 68: III. Un poco allegretto e grazioso","Classical, romantic, symphony, late romantic, german"
Mohammed Abdel Wahab,Hayhebeny,Unknown
