name_artist,gen_artist
Sergio Marini & Luke,['Faltante']
Makiko,['Faltante']
Naushad,['malayalam pop']
S27,['Faltante']
Emil Lundin,['Faltante']
Budapest Symphony Orchestra,"['classical', 'orchestra']"
Red Titanic,['comedy']
Darrell Scott,"['bluegrass', 'newgrass', 'americana', 'alt country']"
Antonis Lavidas-klarino,['Faltante']
Group Home,"['east coast hip hop', 'boom bap']"
Michele Campanella,"['classical piano', 'classical']"
3X Krazy,"['g-funk', 'west coast hip hop', 'hyphy']"
Sharma,['haryanvi pop']
Donald Shoenberg,['christmas']
Stavros Tzouanakos,['laïko']
Chandler Moore,"['worship', 'gospel', 'christian']"
Eddy Raven,['traditional country']
Jin Hashimoto,['anime']
Edlington,['Faltante']
Lordchain,"['melodic metal', 'christian rock', 'speed metal']"
On the Town Orchestra (1960),['Faltante']
Gravy Baby,['meme rap']
Johnny Burnette & The Rock N Roll Trio,"['rockabilly', 'rock and roll', 'psychobilly']"
Johnny Prez,['reggaeton']
Robert Mersey,['Faltante']
Maria Karnilova,['musicals']
Iqbal Bibi,['Faltante']
Indrani Sen,['bangla pop']
Benny Goodman,"['big band', 'swing music', 'jazz', 'ragtime']"
Jarmila Novotna,['Faltante']
Paul Soles,['christmas']
Gustav Mahler,"['classical', 'orchestra']"
Hungarian State Opera Chorus,"['opera', 'requiem', 'classical']"
The New Symphony Orchestra Of London,"['opera', 'classical']"
T99,['dansktop']
Linda Lyndell,['northern soul']
Orquesta Eddy Gaytán,['Faltante']
Amy Grant,"['christmas', 'ccm', 'christian']"
Counting Crows,['Faltante']
Bea Miller,['Faltante']
Alfredo Arroyo,['Faltante']
Nella Colombo,['Faltante']
Baybe,['Faltante']
Shinedown,"['post-grunge', 'alternative metal', 'rock', 'acoustic rock']"
Ricky Desktop,['Faltante']
Mariano Mores,['tango']
Berlin Motet Choir,['Faltante']
Big Tymers,"['southern hip hop', 'crunk']"
Arthur Verocai,"['brazilian jazz', 'bossa nova']"
Mikas,"['kizomba', 'zouk']"
Peter Gennaro,['Faltante']
Josh LaMere,['Faltante']
Bob Seger & The Last Heard,['Faltante']
Jimmy Durante,"['adult standards', 'big band']"
Moreira Da Silva,"['samba', 'seresta']"
Zola Bryon,['darkwave']
pan-pipes,['Faltante']
Friend & Lover,['Faltante']
Marilyn Cooper,['musicals']
Mohantara,['Faltante']
Hagood Hardy,['Faltante']
Joseph Szigeti,['chamber music']
Maria Healy,"['trance', 'progressive trance']"
Kolja Blacher,['classical']
LÉON,"['banda', 'norteño', 'sierreño', 'corrido', 'grupera', 'ranchera', 'sad sierreño', 'música mexicana']"
BONES,"['dark trap', 'cloud rap', 'emo rap', 'horrorcore', 'punk rap', 'underground hip hop']"
Plain White Ts,['Faltante']
Lina Termini,['Faltante']
The Barbarians,['Faltante']
Ernestine Anderson,"['vocal jazz', 'jazz']"
Tim Blake Nelson,['Faltante']
Billy Dalessandro,['minimal techno']
Street Scene Enesemble,['Faltante']
Stan Marsh,['Faltante']
Bogdan Vix,"['trance', 'progressive trance']"
Skeletal Family,"['deathrock', 'post-punk', 'darkwave', 'cold wave']"
